text,score
🎬 no pierdas tu tiempo,0
😭 infumable,0
no pierdas tu tiempo,0
no pierdas tu tiempo de verdad,0
😍 infumable,0
basura total,0
ni gratis la veo,0
pésima posta,0
de lo peor en serio,0
💩 no pierdas tu tiempo,0
aburridísima,0
basura total,0
🎬 de lo peor,0
dolor de ojos,0
infumable posta,0
pésima,0
no pierdas tu tiempo,0
🎬 aburridísima,0
infumable,0
no pierdas tu tiempo demasiado,0
😴 infumable,0
pésima,0
🎬 ni gratis la veo,0
💩 basura total,0
aburridísima mucho,0
😴 aburridísima,0
de lo peor,0
🔥 horrible,0
ni gratis la veo,0
de lo peor,0
infumable mal,0
no pierdas tu tiempo,0
horrible,0
de lo peor,0
dolor de ojos,0
ni gratis la veo demasiado,0
no pierdas tu tiempo,0
pésima,0
pésima,0
pésima,0
ni gratis la veo,0
pésima,0
🔥 infumable,0
ni gratis la veo,0
basura total,0
no pierdas tu tiempo,0
🔥 pésima,0
dolor de ojos mal,0
no pierdas tu tiempo,0
😴 horrible,0
😍 ni gratis la veo,0
dolor de ojos mucho,0
infumable,0
aburridísima,0
💩 no pierdas tu tiempo,0
😍 aburridísima,0
infumable demasiado,0
💩 basura total,0
🔥 aburridísima,0
pésima posta,0
dolor de ojos mal,0
💩 de lo peor,0
de lo peor,0
basura total,0
😭 no pierdas tu tiempo,0
aburridísima posta,0
infumable posta,0
pésima,0
no pierdas tu tiempo,0
😭 ni gratis la veo,0
ni gratis la veo,0
😴 infumable,0
😴 me dormí,0
💩 basura total,0
😴 de lo peor,0
pésima,0
ni gratis la veo,0
💩 infumable,0
dolor de ojos en serio,0
😴 basura total,0
ni gratis la veo,0
basura total posta,0
no pierdas tu tiempo,0
infumable,0
😍 dolor de ojos,0
basura total,0
dolor de ojos,0
😭 pésima,0
😴 aburridísima,0
horrible en serio,0
😍 no pierdas tu tiempo,0
dolor de ojos posta,0
🎬 ni gratis la veo,0
no pierdas tu tiempo,0
horrible,0
pésima,0
😍 ni gratis la veo,0
pésima posta,0
💩 pésima,0
🎬 ni gratis la veo,0
🎬 dolor de ojos,0
infumable,0
ni gratis la veo,0
😴 basura total,0
🎬 pésima,0
horrible demasiado,0
me dormí,0
😭 basura total,0
horrible,0
dolor de ojos,0
basura total,0
basura total posta,0
no pierdas tu tiempo,0
de lo peor,0
infumable,0
horrible demasiado,0
aburridísima,0
😭 infumable,0
no pierdas tu tiempo mal,0
😴 infumable,0
aburridísima,0
😭 infumable,0
infumable de verdad,0
pésima,0
ni gratis la veo en serio,0
horrible,0
😴 basura total,0
aburridísima,0
dolor de ojos mucho,0
😭 infumable,0
😍 de lo peor,0
infumable demasiado,0
aburridísima,0
no pierdas tu tiempo,0
pésima,0
pésima demasiado,0
de lo peor,0
dolor de ojos,0
basura total mucho,0
dolor de ojos,0
me dormí,0
horrible demasiado,0
dolor de ojos,0
infumable posta,0
🔥 horrible,0
me dormí,0
me dormí,0
infumable,0
😭 de lo peor,0
basura total,0
no pierdas tu tiempo demasiado,0
ni gratis la veo,0
no pierdas tu tiempo,0
ni gratis la veo,0
me dormí,0
ni gratis la veo,0
me dormí,0
me dormí,0
pésima,0
💩 infumable,0
🎬 pésima,0
aburridísima posta,0
infumable posta,0
no pierdas tu tiempo,0
me dormí mal,0
de lo peor,0
basura total,0
de lo peor,0
pésima,0
de lo peor,0
dolor de ojos,0
pésima en serio,0
de lo peor,0
horrible,0
de lo peor,0
no pierdas tu tiempo mal,0
😴 horrible,0
🎬 aburridísima,0
aburridísima,0
💩 de lo peor,0
😍 me dormí,0
basura total,0
no pierdas tu tiempo,0
basura total de verdad,0
🔥 dolor de ojos,0
me dormí,0
infumable en serio,0
horrible,0
no pierdas tu tiempo en serio,0
no pierdas tu tiempo,0
dolor de ojos,0
de lo peor mucho,0
🎬 infumable,0
dolor de ojos,0
dolor de ojos,0
de lo peor demasiado,0
😴 aburridísima,0
🎬 me dormí,0
me dormí,0
ni gratis la veo mucho,0
me dormí,0
🔥 dolor de ojos,0
😴 no pierdas tu tiempo,0
infumable,0
de lo peor,0
🔥 aburridísima,0
aburridísima,0
dolor de ojos de verdad,0
ni gratis la veo demasiado,0
de lo peor,0
me dormí,0
🔥 basura total,0
de lo peor,0
dolor de ojos,0
aburridísima,0
aburridísima,0
💩 pésima,0
infumable,0
😭 horrible,0
😍 me dormí,0
ni gratis la veo,0
🎬 infumable,0
horrible,0
💩 horrible,0
🔥 ni gratis la veo,0
💩 me dormí,0
😴 dolor de ojos,0
me dormí,0
pésima,0
no pierdas tu tiempo demasiado,0
😍 basura total,0
🔥 pésima,0
no pierdas tu tiempo,0
dolor de ojos mucho,0
de lo peor,0
dolor de ojos,0
😭 dolor de ojos,0
no pierdas tu tiempo posta,0
pésima posta,0
💩 ni gratis la veo,0
de lo peor,0
🎬 pésima,0
pésima,0
infumable,0
dolor de ojos,0
🔥 de lo peor,0
horrible,0
🎬 no pierdas tu tiempo,0
dolor de ojos,0
pésima,0
pésima,0
ni gratis la veo,0
😴 dolor de ojos,0
aburridísima posta,0
dolor de ojos demasiado,0
pésima,0
horrible,0
😍 pésima,0
de lo peor,0
no pierdas tu tiempo,0
aburridísima,0
aburridísima,0
de lo peor,0
🎬 me dormí,0
😴 aburridísima,0
ni gratis la veo mucho,0
me dormí en serio,0
dolor de ojos,0
😍 basura total,0
horrible,0
😭 me dormí,0
dolor de ojos,0
pésima,0
💩 no pierdas tu tiempo,0
me dormí,0
horrible,0
ni gratis la veo,0
me dormí mucho,0
horrible,0
ni gratis la veo de verdad,0
pésima,0
aburridísima,0
🎬 basura total,0
dolor de ojos,0
horrible,0
aburridísima,0
me dormí,0
infumable mal,0
basura total,0
de lo peor,0
horrible mucho,0
dolor de ojos mal,0
no pierdas tu tiempo,0
horrible,0
🎬 horrible,0
aburridísima,0
no pierdas tu tiempo,0
ni gratis la veo,0
me dormí de verdad,0
infumable,0
infumable,0
no pierdas tu tiempo,0
no pierdas tu tiempo,0
💩 basura total,0
pésima,0
infumable,0
💩 horrible,0
dolor de ojos,0
infumable,0
infumable en serio,0
basura total,0
pésima mal,0
aburridísima mal,0
pésima,0
de lo peor mal,0
dolor de ojos demasiado,0
😭 pésima,0
😍 de lo peor,0
basura total,0
pésima en serio,0
infumable,0
horrible,0
basura total,0
dolor de ojos en serio,0
aburridísima posta,0
ni gratis la veo,0
ni gratis la veo,0
pésima,0
pésima,0
no pierdas tu tiempo posta,0
de lo peor,0
😴 aburridísima,0
💩 basura total,0
me dormí,0
pésima,0
🔥 aburridísima,0
😍 me dormí,0
aburridísima de verdad,0
me dormí,0
💩 de lo peor,0
basura total,0
😍 no pierdas tu tiempo,0
horrible,0
ni gratis la veo,0
horrible,0
me dormí,0
🎬 pésima,0
infumable,0
😭 aburridísima,0
aburridísima,0
🎬 aburridísima,0
infumable,0
🔥 me dormí,0
dolor de ojos en serio,0
infumable,0
😍 infumable,0
infumable,0
infumable mucho,0
🔥 basura total,0
horrible,0
no pierdas tu tiempo de verdad,0
aburridísima en serio,0
💩 basura total,0
horrible,0
no pierdas tu tiempo,0
ni gratis la veo,0
infumable demasiado,0
ni gratis la veo,0
😴 basura total,0
de lo peor demasiado,0
💩 me dormí,0
aburridísima en serio,0
dolor de ojos,0
aburridísima,0
pésima,0
no pierdas tu tiempo demasiado,0
ni gratis la veo mal,0
infumable,0
de lo peor mal,0
aburridísima,0
horrible,0
no pierdas tu tiempo de verdad,0
aburridísima,0
dolor de ojos,0
no pierdas tu tiempo,0
de lo peor,0
pésima,0
dolor de ojos mal,0
infumable,0
ni gratis la veo,0
😴 dolor de ojos,0
ni gratis la veo,0
dolor de ojos,0
dolor de ojos,0
🎬 pésima,0
pésima,0
horrible,0
😭 de lo peor,0
😍 basura total,0
infumable,0
horrible,0
dolor de ojos,0
😍 horrible,0
basura total demasiado,0
de lo peor,0
😍 pésima,0
no pierdas tu tiempo demasiado,0
dolor de ojos,0
😍 basura total,0
🎬 basura total,0
infumable,0
pésima demasiado,0
😴 de lo peor,0
ni gratis la veo,0
😭 aburridísima,0
basura total,0
no pierdas tu tiempo,0
dolor de ojos,0
💩 pésima,0
😍 aburridísima,0
me dormí,0
no pierdas tu tiempo mal,0
dolor de ojos en serio,0
🔥 aburridísima,0
no pierdas tu tiempo mucho,0
infumable,0
🔥 horrible,0
😍 pésima,0
horrible,0
horrible,0
me dormí,0
me dormí,0
dolor de ojos,0
💩 aburridísima,0
me dormí,0
pésima,0
no pierdas tu tiempo,0
basura total demasiado,0
no pierdas tu tiempo,0
me dormí,0
basura total,0
infumable,0
horrible,0
aburridísima demasiado,0
😭 horrible,0
me dormí,0
🎬 dolor de ojos,0
pésima,0
😭 dolor de ojos,0
💩 aburridísima,0
ni gratis la veo demasiado,0
dolor de ojos,0
dolor de ojos,0
pésima,0
😭 de lo peor,0
no pierdas tu tiempo,0
aburridísima,0
😭 ni gratis la veo,0
de lo peor en serio,0
horrible,0
🔥 me dormí,0
💩 horrible,0
ni gratis la veo,0
🎬 ni gratis la veo,0
😴 dolor de ojos,0
😭 horrible,0
dolor de ojos mal,0
basura total,0
infumable,0
🔥 me dormí,0
pésima,0
infumable,0
me dormí mal,0
ni gratis la veo,0
infumable en serio,0
basura total,0
ni gratis la veo,0
ni gratis la veo posta,0
pésima,0
🔥 de lo peor,0
me dormí,0
😍 de lo peor,0
💩 aburridísima,0
🎬 aburridísima,0
no pierdas tu tiempo,0
🎬 horrible,0
me dormí demasiado,0
me dormí de verdad,0
🔥 basura total,0
ni gratis la veo,0
🎬 de lo peor,0
infumable mal,0
dolor de ojos mal,0
dolor de ojos,0
🔥 dolor de ojos,0
pésima,0
infumable demasiado,0
no pierdas tu tiempo,0
ni gratis la veo,0
ni gratis la veo,0
😴 me dormí,0
💩 aburridísima,0
aburridísima,0
no pierdas tu tiempo,0
🎬 aburridísima,0
ni gratis la veo,0
me dormí,0
horrible mal,0
💩 basura total,0
infumable,0
pésima,0
ni gratis la veo demasiado,0
💩 infumable,0
🎬 aburridísima,0
de lo peor,0
de lo peor demasiado,0
me dormí,0
pésima,0
no pierdas tu tiempo,0
horrible,0
no pierdas tu tiempo mal,0
dolor de ojos mal,0
aburridísima,0
aburridísima,0
😭 basura total,0
de lo peor,0
horrible mucho,0
💩 me dormí,0
infumable,0
de lo peor posta,0
me dormí,0
no pierdas tu tiempo,0
de lo peor de verdad,0
basura total,0
de lo peor en serio,0
😍 me dormí,0
pésima,0
💩 infumable,0
😭 me dormí,0
me dormí,0
aburridísima,0
ni gratis la veo,0
horrible,0
horrible,0
no pierdas tu tiempo,0
infumable mucho,0
