text,score
del asco,1
meh,3
mega buena,5
simple,3
ultra pésima,1
top,5
horrible,1
regular,3
simple,3
fatal,1
fenomenal,5
bastante meh,3
ultra me encantó,5
re fatal,1
brutal,5
me encantó,5
top,5
ultra una pasada,5
maso,3
aceptable,3
re mega buena,5
algo tolerable,3
tolerable,3
tremendo fiasco,1
pasable,3
olvídalo,1
basura total,1
mega buena,5
mega increible,5
cheverísima,5
una pasada,5
infumable,1
brutal,5
basura total,1
re genial,5
medio se deja ver,3
ultra del asco,1
una obra maestra,5
algo decente,3
aburridísima,1
básica,3
del carajo,5
brutal,5
olvídalo,1
ultra basura total,1
super que porquería de peli,1
estuvo bien,3
bastante sin más,3
super top,5
mega buena,5
decente,3
ultra increible,5
re aburridísima,1
medio estuvo bien,3
super fatal,1
excelente,5
una pasada,5
mega cheverísima,5
simple,3
horrible,1
mega 10 de 10,5
super olvídalo,1
terrible,1
super una basura,1
mega espantosa,1
mega bodrio absoluto,1
no vale la pena,1
asquerosa,1
basura total,1
re muy buena peli,5
aburridísima,1
mega fatal,1
super top,5
nada rescatable,1
cheverísima,5
cheverísima,5
me encantó,5
ultra super top,5
una obra maestra,5
que chimba,5
aburridísima,1
increible,5
horrible,1
ok,3
re fenomenal,5
regular,3
espantosa,1
terrible,1
me encantó,5
aburridísima,1
malísima,1
nada rescatable,1
super malísima,1
re muy buena peli,5
sin más,3
bellísima,5
ultra genial,5
espantosa,1
que joya,5
super una pasada,5
decente,3
normalita,3
re olvídalo,1
sin más,3
excelente,5
olvídalo,1
bastante decente,3
re horrible,1
infumable,1
regular,3
lo justo,3
decente,3
10 de 10,5
re genial,5
ultra espantosa,1
se deja ver,3
re increible,5
mega patética,1
super olvídalo,1
malísima,1
mega 10 de 10,5
bodrio absoluto,1
super increible,5
brutal,5
mega infumable,1
un desastre,1
top,5
se deja ver,3
simple,3
excelente,5
estuvo bien,3
bastante tolerable,3
tremendo fiasco,1
medio normalita,3
increible,5
super muy buena peli,5
medio normalita,3
brutal,5
super del carajo,5
fatal,1
horrible,1
ultra un desastre,1
re fatal,1
malísima,1
mega olvídalo,1
lo justo,3
aburridísima,1
muy buena peli,5
que porquería de peli,1
basura total,1
tremendo fiasco,1
re una obra maestra,5
bastante ok,3
del asco,1
ultra infumable,1
super nada rescatable,1
bodrio absoluto,1
pasable,3
regular,3
olvídalo,1
medio ok,3
asquerosa,1
bastante ni fu ni fa,3
fatal,1
mega terrible,1
bastante en la media,3
algo en la media,3
ni fu ni fa,3
nada rescatable,1
super espantosa,1
medio pudo ser mejor,3
estuvo bien,3
safa,3
básica,3
basura total,1
medio tolerable,3
algo normalita,3
re 10 de 10,5
ultra asquerosa,1
se deja ver,3
mega bodrio absoluto,1
malísima,1
una basura,1
sin más,3
mega malísima,1
del asco,1
olvídalo,1
lo justo,3
medio ok,3
nada rescatable,1
ni fu ni fa,3
terrible,1
bellísima,5
patética,1
tremendo fiasco,1
sin más,3
regular,3
aceptable,3
no vale la pena,1
nada rescatable,1
